"pandora_topic_id","topic_term","cnt"
"TP:84619","Dallas Mavericks","36"
"TP:38959","Cincinnati Bengals","36"
"TP:83280","New England Patriots","36"
"TP:118325","Jamison Scala","36"
"TP:116409","C. J. Nitkowski","36"
"TP:34656","Greg Gutfeld","36"
"TP:109984","Steve Harvey","36"
"TP:103434","Jon Weiner","36"
"TP:29019","Ufology","36"
"TP:139147","therapy","36"
"TP:28263","fantasy baseball","36"
"TP:83271","Arizona Cardinals","36"
"TP:83317","Minnesota Vikings","36"
"TP:241747","Liza Fromer","36"
"TP:108111","Pearl Jam","36"
"TP:104030","Carson Daly","36"
"TP:28792","James Harden","36"
"TP:273931","Shin Yu Pai","36"
"TP:103913","Brad Gillie","36"
"TP:159595","GLP-1 medications","36"
"TP:124925","Greg Maroney","36"
"TP:103413","Roy Philpott (SiriusXM Host)","36"
"TP:83399","Cleveland Guardians","36"
"TP:31619","Mike Florio","35"
"TP:112090","LL Cool J","35"
"TP:108626","Jeannie Seely","35"
"TP:29134","San Francisco Bay Area Sports","35"
"TP:2014994","Alex Ferrario","35"
"TP:86631","Manchester United F.C.","35"
"TP:124512","Mack & Jen","35"
"TP:145176","Michigan Wolverines","35"
"TP:107568","Ned Luberecki","35"
"TP:83303","Edmonton Oilers","35"
"TP:41031","Trevor May","35"
"TP:83289","San Francisco Giants","35"
"TP:84941","The Real Housewives of Atlanta","35"
"TP:218086","Chris Jones (radio)","35"
"TP:103211","Madison (SiriusXM Host)","35"
"TP:139322","WWE NXT","35"
"TP:29197","Minneapolis Sports","34"
"TP:37629","Sean Hayes","34"
"TP:103228","Alan Seslowsky (SiriusXM Host)","34"
"TP:28310","Pro Wrestling","34"
"TP:103259","Mike Ferrin","34"
"TP:40772","Adam Rittenberg","34"
"TP:28382","dating","34"
"TP:2014993","Brandon Kiley","34"
"TP:32085","James Comey","34"
"TP:28766","Anthony Edwards","34"
"TP:116215","Chris Childers (SiriusXM Host)","34"
"TP:139537","college baseball","34"
"TP:71109","Heather B. Gardner (SiriusXM Host)","34"
"TP:43572","Jim Florentine","34"
"TP:107491","Tommy James","33"
"TP:150282","Robin Dreeke","33"
"TP:38781","Scott Van Pelt","33"
"TP:116363","Ryan Spilborghs","33"
"TP:53146","Robin Quivers","33"
"TP:150281","Tony Brueski","33"
"TP:29281","true crime history","33"
"TP:83307","Toronto Blue Jays","33"
"TP:32408","Tyrese Maxey","33"
"TP:103810","Karen Moskow","33"
"TP:31550","Shai Gilgeous-Alexander","33"
"TP:83595","Texas Rangers (baseball)","33"
"TP:83312","San Diego Padres","33"
"TP:29015","cannabis","32"
"TP:45486","Brad Lidge","32"
"TP:120714","Joey Black (SiriusXM Host)","32"
"TP:31837","Cody Rhodes","32"
"TP:139308","crimes","32"
"TP:45213","Mark Dominik","32"
"TP:28060","Musica y Entretenimiento","32"
"TP:38960","San Francisco 49ers","32"
"TP:33695","Ken Coleman","32"
"TP:36647","Jason Bateman","32"
"TP:135818","Rachel Leviss","32"
"TP:83291","Seattle Mariners","32"
"TP:83277","Tampa Bay Buccaneers","32"
"TP:70420","Kevin Frandsen","32"
"TP:28073","COVID-19","32"
"TP:86617","Liverpool F.C.","32"
"TP:34871","Lester Holt","32"
"TP:145736","Iyo Sky","32"
"TP:34631","Will Arnett","32"
"TP:31333","Karl-Anthony Towns","32"
"TP:32571","Charles Davis","32"
"TP:71168","Jim Ladd","32"
"TP:189903","Unwell Network","31"
"TP:133159","Chris Jones","31"
"TP:112886","Jonathan Davis","31"
"TP:124083","social media","31"
"TP:34098","Austin Reaves","31"
"TP:83601","Kansas City Royals","31"
"TP:103408","Lurie Daniel Favors","31"
"TP:63052","Richard Blade (SiriusXM Host)","31"
"TP:105161","Bob Buchmann (SiriusXM Host)","31"
"TP:83408","Washington Nationals","31"
"TP:120681","George Nenadich","31"
"TP:50051","Adrian Heath","31"
"TP:118556","Emily Jashinsky","31"
"TP:123129","Nottingham Forest F.C.","31"
"TP:38958","Los Angeles Rams","31"
"TP:113781","Steven Kapp Perry (radio host)","31"
"TP:28093","TikTok","31"
"TP:39051","Milwaukee Bucks","31"
"TP:103226","Steve Kouleas","31"
"TP:116114","Janusz Michallik","31"
"TP:108957","Jason Gray","31"
"TP:2016774","White House State Ballroom","31"
"TP:140980","geopolitics","30"
"TP:112885","SVZ (duplicate)","30"
"TP:33219","Anthony Edwards (basketball)","30"
"TP:154256","Jordy Meiselas","30"
"TP:183050","The Bible","30"
"TP:124622","Steve Ferrone","30"
"TP:42944","Dan Le Batard","30"
"TP:136749","A. J. Ramos","30"
"TP:71013","Bill Flanagan","30"
"TP:135097","Republican Party","30"
"TP:110084","Madonna","30"
"TP:117908","Bill Lekas","30"
"TP:61882","Adam Clayton","30"
"TP:103677","Paul Sweeney (news anchor)","30"
"TP:116221","Carol Miller (SiriusXM Host)","30"
"TP:141953","retirement","30"
"TP:31496","Jim Cramer","30"
"TP:86562","Chelsea F.C.","30"
"TP:41860","Eddie Trunk (SiriusXM Host)","30"
"TP:97358","Comedy Central","30"
"TP:117835","Todd Zola (SiriusXM Host)","30"
"TP:48468","Gary Williams","30"
"TP:69612","Carl Paulson","30"
"TP:144053","Canadian politics","30"
"TP:117044","Doug Budin","30"
"TP:134094","Trick Williams","29"
"TP:37351","Gilbert Arenas","29"
"TP:83407","Chicago White Sox","29"
"TP:28259","Rock Artist Interviews","29"
"TP:103667","Jonathan Ferro (news anchor)","29"
"TP:103143","Chris Spatola (SiriusXM Host)","29"
"TP:109756","Nathaniel Rateliff","29"
"TP:69661","Chris Hillman","29"
"TP:34541","Dianna Russini","29"
"TP:124924","Nedski & Mojo","29"
"TP:245888","TC Cannon","29"
"TP:32870","Sami Zayn","29"
"TP:121463","Jamahl Mosley","29"
"TP:53733","Bobby Carpenter (American football)","29"
"TP:34060","Don Was","29"
"TP:144084","trucking accidents","29"
"TP:179213","Penn State Nittany Lions","29"
"TP:29147","Prank Comedy","29"
"TP:110171","Mark O'Connor","29"
"TP:2017935","NASCAR O'Reilly Auto Parts Series","29"
